hero,games,winPercent,takedownDeathRatio,takedowns,kills,deaths,heroDamage,siegeDamage,healing,selfHeal,damageTaken,expGain,roles
Garrosh,9976.0,47.8,3.9,14.7,2.5,3.8,29626.0,25847.0,1239.0,12074.0,64066.0,7631.0,tank
Li Li,12675.0,48.2,5.0,13.1,1.6,2.6,28856.0,19335.0,74541.0,12.0,40517.0,6902.0,healer
Malfurion,7550.0,49.4,4.2,13.2,1.7,3.2,27600.0,20035.0,69850.0,13.0,33460.0,6404.0,healer
Whitemane,3833.0,51.6,4.6,13.6,1.5,3.0,27064.0,20046.0,74104.0,14.0,34120.0,6130.0,healer
Stukov,11367.0,49.8,4.8,13.3,2.0,2.8,25614.0,24683.0,74152.0,18.0,37857.0,6903.0,healer
Lúcio,14958.0,51.2,5.0,13.5,1.9,2.7,24228.0,21020.0,86445.0,1410.0,41362.0,6972.0,healer
Alexstrasza,4238.0,47.9,4.7,12.5,1.6,2.6,24049.0,33880.0,81408.0,3929.0,30910.0,7273.0,healer
Auriel,6140.0,48.4,4.0,12.9,1.5,3.2,23768.0,40119.0,66639.0,13.0,39540.0,7733.0,healer
Anduin,16224.0,48.2,6.0,13.3,1.3,2.2,23497.0,26824.0,74746.0,4538.0,32759.0,6666.0,healer
Uther,11754.0,56.1,4.2,14.8,1.8,3.5,23453.0,31067.0,49817.0,8266.0,50226.0,7981.0,healer
E.T.C.,12551.0,47.5,3.5,12.9,1.7,3.7,22957.0,37728.0,3983.0,23712.0,68756.0,8448.0,tank
Rehgar,7510.0,51.3,4.4,12.8,2.2,2.9,21109.0,39825.0,68017.0,1776.0,47225.0,8400.0,healer
Deckard,6790.0,46.4,5.9,13.4,0.8,2.3,19231.0,32447.0,68270.0,3075.0,32042.0,6832.0,healer
Ana,7038.0,47.0,5.8,13.6,1.5,2.4,18423.0,14102.0,60473.0,6673.0,22341.0,5903.0,healer
Brightwing,24724.0,50.7,5.1,13.1,1.3,2.6,16136.0,31710.0,81493.0,10.0,33833.0,7555.0,healer
Lt. Morales,4486.0,48.5,4.5,12.9,0.9,2.8,14555.0,20352.0,68990.0,13490.0,28188.0,5946.0,healer
