kills,assists,deaths,dmgDealt,dmgHealed,dmgTaken,exp,ppr,classe
2,8,1,29327,0,62192,7704,48,win
1,9,0,30340,73574,0,6461,61,win
3,6,1,51285,0,36611,10971,47,win
1,9,3,18864,0,52254,15613,22,win
3,7,0,45749,0,15795,11228,57,win
0,5,3,10123,63372,0,6787,24,loss
0,5,4,16605,0,55539,8379,20,loss
0,5,2,22254,38482,0,5768,29,loss
3,1,1,25791,0,49621,17691,54,loss
2,3,0,78508,0,33136,10694,63,loss
